epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,221.81,2.3121,3.60886,2.87195,0.13053,0.12398,0.16848,0.0692,0.02726,1.96037,3.35792,2.55135,0.05937,0.00995536,0.00331845,0.00995536,0.00331845,0.00995536,0.00331845,0.00995536,0.00331845
2,345.572,1.91852,2.92389,2.30229,0.05396,0.15661,0.2068,0.09238,0.0426,1.99321,3.0465,2.54388,0.07228,0.0199356,0.0066452,0.0199356,0.0066452,0.0199356,0.0066452,0.0199356,0.0066452
3,461.742,1.83823,2.76864,2.20127,0.05043,0.17687,0.21377,0.12215,0.05537,1.8876,3.34747,2.39075,0.04926,0.029896,0.00996535,0.029896,0.00996535,0.029896,0.00996535,0.029896,0.00996535
4,575.114,1.78243,2.71805,2.16921,0.04592,0.32106,0.23612,0.12969,0.05874,1.86152,2.9822,2.47023,0.04869,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703
5,88.6291,1.72986,2.5983,2.1162,0.04199,0.26356,0.28601,0.20565,0.09695,1.72626,2.62849,2.29133,0.04147,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604
6,176.814,1.67573,2.44337,2.05911,0.03853,0.27047,0.35875,0.26147,0.13115,1.63675,2.59397,2.22019,0.03976,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505
7,262.762,1.64465,2.38041,2.04201,0.03767,0.46732,0.31927,0.28171,0.14949,1.65282,2.35284,2.20147,0.04078,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
8,349.873,1.63348,2.33918,2.02334,0.03678,0.34247,0.35855,0.28732,0.14869,1.61407,2.44641,2.18069,0.03609,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307
9,435.075,1.59063,2.26562,1.98069,0.03502,0.43593,0.42614,0.35262,0.19292,1.5663,2.26536,2.09896,0.03813,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
10,522.527,1.57104,2.20559,1.96494,0.03361,0.46932,0.35889,0.30774,0.16102,1.63313,2.73812,2.17029,0.03631,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109
11,608.331,1.55596,2.17861,1.95107,0.03225,0.48252,0.42565,0.40153,0.21509,1.55261,2.13985,2.09353,0.03451,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
12,695.979,1.52927,2.09532,1.91507,0.03134,0.4514,0.4864,0.44956,0.25858,1.50284,2.02974,2.07317,0.03439,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911
13,783.297,1.50844,2.03322,1.90118,0.03058,0.46011,0.44738,0.4163,0.22785,1.51347,2.13502,2.02267,0.03346,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
14,869.861,1.50752,2.03863,1.89196,0.03128,0.516,0.48158,0.47003,0.27815,1.46028,1.97473,2.0145,0.03095,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713
15,955.076,1.48252,1.96462,1.87916,0.02961,0.51065,0.50678,0.49152,0.28792,1.43738,1.8727,1.98519,0.03167,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
16,1042.09,1.46517,1.93201,1.86094,0.02938,0.51512,0.52191,0.50481,0.30706,1.43535,1.89512,1.98309,0.03308,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
17,1132,1.45579,1.89112,1.8453,0.0299,0.56479,0.50883,0.52522,0.32316,1.43882,1.91697,1.97585,0.03041,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
18,1221.33,1.44149,1.87578,1.84178,0.02853,0.57769,0.50462,0.51743,0.32069,1.41413,1.77029,1.94761,0.03075,0.0294951,0.0098317,0.0294951,0.0098317,0.0294951,0.0098317,0.0294951,0.0098317
19,1309.09,1.42741,1.85188,1.82317,0.02831,0.62139,0.53618,0.57637,0.35067,1.44699,1.91463,1.96826,0.03002,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
20,1397.15,1.41921,1.80978,1.81482,0.02794,0.62038,0.55682,0.59244,0.37584,1.35791,1.67826,1.91126,0.02993,0.0294357,0.0098119,0.0294357,0.0098119,0.0294357,0.0098119,0.0294357,0.0098119
