epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7561,1.51201,4.56565,0.0199,0.04118,0.5,0.05773,0.04315,0.99049,5.91304,0.01752,0.00028785,0.00028785,0.00028785
2,27.4605,1.4581,4.62123,0.01728,0.02864,0.54167,0.03387,0.0178,1.21242,5.95769,0.02176,0.000561603,0.000561603,0.000561603
3,30.7636,1.46077,4.54979,0.01882,0.02864,0.54167,0.03387,0.0178,1.21242,5.95769,0.02176,0.000805359,0.000805359,0.000805359
4,33.9736,1.60788,4.72704,0.01836,0.01169,0.70833,0.10171,0.06962,1.20534,5.90438,0.02267,0.000774013,0.000774013,0.000774013
5,37.5078,1.46991,4.57459,0.01749,0.0099,0.70833,0.14197,0.05293,1.20024,5.81289,0.02016,0.000729018,0.000729018,0.000729018
6,40.7607,1.4632,4.72698,0.02108,0.0099,0.70833,0.14197,0.05293,1.20024,5.81289,0.02016,0.000684022,0.000684022,0.000684022
7,44.1322,1.43231,4.47114,0.01814,0.01208,0.75,0.20469,0.10624,1.21936,5.8408,0.0208,0.000639027,0.000639027,0.000639027
8,47.465,1.34573,4.60237,0.01767,0.01131,0.66667,0.05388,0.02749,1.39778,5.90241,0.02556,0.000594031,0.000594031,0.000594031
9,50.7757,1.44428,4.59881,0.01982,0.01131,0.66667,0.05388,0.02749,1.39778,5.90241,0.02556,0.000549036,0.000549036,0.000549036
10,54.3952,1.3679,4.56415,0.01912,0.01232,0.70833,0.11215,0.06309,1.44785,5.87187,0.02941,0.00050404,0.00050404,0.00050404
11,57.5075,1.658,5.45796,0.02929,0.01394,0.79167,0.27041,0.16152,1.24479,5.7288,0.02887,0.000459045,0.000459045,0.000459045
12,60.6435,1.60285,5.45008,0.02666,0.01394,0.79167,0.27041,0.16152,1.24479,5.7288,0.02887,0.000414049,0.000414049,0.000414049
13,63.8268,1.64629,5.40495,0.02917,0.01575,0.75,0.20785,0.13737,1.16135,5.70138,0.02424,0.000369054,0.000369054,0.000369054
14,66.9903,1.52786,5.33729,0.02433,0.01318,0.70833,0.17653,0.12499,1.17286,5.65229,0.02527,0.000324058,0.000324058,0.000324058
15,70.1118,1.47843,5.39506,0.0266,0.01318,0.70833,0.17653,0.12499,1.17286,5.65229,0.02527,0.000279063,0.000279063,0.000279063
16,73.1244,1.68457,5.35051,0.03194,0.01287,0.66667,0.20619,0.13323,1.24171,5.68855,0.02688,0.000234068,0.000234068,0.000234068
17,76.2249,1.44693,5.38125,0.02294,0.01287,0.66667,0.20619,0.13323,1.24171,5.68855,0.02688,0.000189072,0.000189072,0.000189072
18,79.2903,1.5575,5.41652,0.02623,0.01308,0.66667,0.23647,0.14953,1.22321,5.65491,0.02659,0.000144077,0.000144077,0.000144077
19,82.3055,1.52756,5.26567,0.02207,0.01217,0.66667,0.25301,0.16903,1.19922,5.69802,0.02586,9.9081e-05,9.9081e-05,9.9081e-05
20,85.2729,1.45862,5.23901,0.02459,0.01217,0.66667,0.25301,0.16903,1.19922,5.69802,0.02586,5.40855e-05,5.40855e-05,5.40855e-05
