epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4163,1.69191,5.53629,4.52973,0.01919,13.1814,0.003,0.29167,0.00887,0.00657,0.00218,0.25,0.00656,0.00359,1.162,4.51948,6.15589,0.02696,0,0.0002727,0.0002727,0.0002727
2,23.9559,1.61745,5.35593,4.54748,0.01959,13.008,0.00633,0.375,0.05158,0.03137,0.00324,0.25,0.04269,0.02643,1.23521,4.81118,6.16288,0.02822,0,0.000547203,0.000547203,0.000547203
3,26.5253,1.82167,5.48992,4.58124,0.0202,13.186,0.00633,0.375,0.05158,0.03137,0.00324,0.25,0.04269,0.02643,1.23521,4.81118,6.16288,0.02822,0,0.000791709,0.000791709,0.000791709
4,29.148,1.7196,5.61416,4.92278,0.026,12.7885,0.01443,0.45833,0.06375,0.02861,0.00778,0.20833,0.03102,0.01543,1.23599,4.96952,6.10975,0.03197,0,0.000774013,0.000774013,0.000774013
5,31.7152,1.73892,5.73152,4.59439,0.0211,12.9995,0.01254,0.58333,0.03465,0.01447,0.00688,0.25,0.02065,0.01051,1.33561,6.3777,6.15595,0.03829,0,0.000729018,0.000729018,0.000729018
6,34.324,1.65218,5.87833,4.69365,0.02304,13.2742,0.01254,0.58333,0.03465,0.01447,0.00688,0.25,0.02065,0.01051,1.33561,6.3777,6.15595,0.03829,0,0.000684022,0.000684022,0.000684022
7,36.896,1.69359,5.11908,4.56417,0.02061,12.9816,0.0081,0.66667,0.10795,0.07949,0.00576,0.41667,0.10218,0.0721,1.54756,6.21086,6.31917,0.04151,0,0.000639027,0.000639027,0.000639027
8,39.6061,1.54905,4.61663,4.59639,0.01874,12.5905,0.00771,0.625,0.16355,0.11319,0.00477,0.375,0.12222,0.08205,1.49717,6.02797,6.32639,0.04065,0,0.000594031,0.000594031,0.000594031
9,42.3643,1.48134,4.29115,4.53466,0.01715,12.3005,0.00771,0.625,0.16355,0.11319,0.00477,0.375,0.12222,0.08205,1.49717,6.02797,6.32639,0.04065,0,0.000549036,0.000549036,0.000549036
10,45.239,1.46768,4.20669,4.47013,0.01737,11.8659,0.00699,0.625,0.1383,0.09854,0.00395,0.33333,0.09977,0.08204,1.48233,5.9466,6.3136,0.04191,0,0.00050404,0.00050404,0.00050404
11,47.9657,1.67737,4.29815,5.43985,0.02776,11.9402,0.00699,0.625,0.1383,0.09854,0.00395,0.33333,0.09977,0.08204,1.48233,5.9466,6.3136,0.04191,0,0.000459045,0.000459045,0.000459045
12,50.6228,1.66409,4.09979,5.3034,0.02363,11.5158,0.01074,0.70833,0.25255,0.17344,0.0041,0.375,0.23001,0.16599,1.39276,5.19477,6.17369,0.0352,0,0.000414049,0.000414049,0.000414049
13,55.9354,1.6819,4.18392,5.3801,0.02712,11.613,0.00769,0.625,0.26156,0.18213,0.00507,0.45833,0.24775,0.18788,1.3853,4.89754,6.13508,0.03546,0,0.000369054,0.000369054,0.000369054
14,60.8482,1.71001,4.22886,5.31283,0.02674,11.4707,0.00769,0.625,0.26156,0.18213,0.00507,0.45833,0.24775,0.18788,1.3853,4.89754,6.13508,0.03546,0,0.000324058,0.000324058,0.000324058
15,66.1643,1.56387,3.91748,5.2939,0.02129,11.1717,0.0094,0.58333,0.25526,0.17287,0.00588,0.375,0.24534,0.1794,1.32853,4.56729,6.07937,0.03263,0,0.000279063,0.000279063,0.000279063
16,71.7955,1.6285,3.97666,5.29107,0.02665,11.0664,0.02141,0.66667,0.28698,0.20588,0.00687,0.375,0.2693,0.19893,1.31233,4.27411,5.995,0.03238,0,0.000234068,0.000234068,0.000234068
17,76.7091,1.47989,3.82549,5.27504,0.02033,10.88,0.02141,0.66667,0.28698,0.20588,0.00687,0.375,0.2693,0.19893,1.31233,4.27411,5.995,0.03238,0,0.000189072,0.000189072,0.000189072
18,81.5762,1.51062,3.92203,5.34476,0.02166,10.9276,0.0149,0.625,0.24926,0.18633,0.00763,0.375,0.2392,0.18033,1.24866,4.29848,5.94991,0.03023,0,0.000144077,0.000144077,0.000144077
19,87.1474,1.53042,3.80568,5.2564,0.02046,10.8627,0.0149,0.625,0.24926,0.18633,0.00763,0.375,0.2392,0.18033,1.24866,4.29848,5.94991,0.03023,0,9.9081e-05,9.9081e-05,9.9081e-05
20,92.59,1.51556,3.91971,5.20812,0.02305,10.8514,0.01746,0.625,0.26016,0.19326,0.00892,0.375,0.24531,0.18227,1.21506,4.32236,5.92434,0.02957,0,5.40855e-05,5.40855e-05,5.40855e-05
